Month,Period,2003-2004,2004-2005,
Oct,28,0.0898,0.0948,
,29,0.0902,0.0944,
,30,0.09,0.0931,
Nov,31,0.0885,0.0912,
,32,0.0881,0.0896,
,33,0.0868,0.0889,
Dec,34,0.087,0.0901,
,35,0.0884,0.091,
,36,0.0915,0.0925,
Jan,1,0.0957,0.0934,
,2,0.1003,0.0942,
,3,0.1049,0.0931,
Feb,4,0.1061,0.0935,
,5,0.1053,0.0932,
,6,0.1039,0.0932,
Mar,7,0.1025,0.0936,
,8,0.1005,0.0948,
,9,0.0982,0.095,
Apr,10,0.0949,0.0957,
,11,0.0928,0.0948,
,12,0.0911,0.0934,
May,13,0.0909,0.0915,
,14,0.0916,0.0908,
,15,0.0936,0.0917,
Jun,16,0.0942,0.0917,
,17,0.0941,0.0917,
,18,0.094,0.0914,
Jul,19,0.0944,0.0904,
,20,0.0933,0.0899,
,21,0.0929,0.09,
Aug,22,0.0928,0.0909,
,23,0.0926,0.092,
,24,0.0924,0.0929,
Sep,25,0.0922,0.0916,
,26,0.093,0.0916,
,27,0.0942,0.0925